experiment,baseline_experiment,feature_set,is_prime_signal,cohort,is_high_confidence_clinical_cohort,metric,candidate_value,baseline_value,delta_value,win,no_regression,substantial_loss
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,clinvar_expert_external_validation_brca1,True,auc_pr,0.6495695399548338,0.5879490534893914,0.06162048646544238,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,clinvar_expert_external_validation_brca1,True,mcc,0.3350899487423118,0.06200865735715771,0.2730812913851541,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,clinvar_expert_external_validation_brca2,True,auc_roc,0.7709276018099547,0.6515837104072398,0.11934389140271484,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,clinvar_expert_external_validation_brca2,True,auc_pr,0.5262120463211216,0.2709036110182074,0.2553084353029142,True,True,False
hybrid_plus_conservation__logistic_regression,external_predictors_only__logistic_regression,hybrid_plus_conservation,True,clinvar_expert_external_validation_brca2,True,mcc,0.37311463046757165,0.08684168428648435,0.2862729461810873,True,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,bridges_like_external_validation_brca1,False,auc_roc,0.49643666990605767,0.5903790087463556,-0.09394233884029796,False,False,True
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,bridges_like_external_validation_brca1,False,auc_pr,0.14369474011111316,0.17824207440444303,-0.03454733429332987,False,False,True
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,bridges_like_external_validation_brca1,False,mcc,0.009634555216934666,0.09234734153247869,-0.08271278631554402,False,False,True
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,bridges_like_external_validation_brca2,False,auc_roc,0.544403892944039,0.278345498783455,0.266058394160584,True,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,bridges_like_external_validation_brca2,False,auc_pr,0.0631176222239887,0.04124243893526938,0.02187518328871932,True,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,bridges_like_external_validation_brca2,False,mcc,0.0022979809129659292,-0.14225790931127463,0.14455589022424056,True,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,clinvar_expert_external_validation_brca1,True,auc_roc,0.6842726784755769,0.7419216317767042,-0.05764895330112729,False,False,True
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,clinvar_expert_external_validation_brca1,True,auc_pr,0.5632985982509401,0.5879490534893914,-0.02465045523845133,False,False,True
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,clinvar_expert_external_validation_brca1,True,mcc,0.26206801270714214,0.06200865735715771,0.20005935534998442,True,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,clinvar_expert_external_validation_brca2,True,auc_roc,0.6381033182503771,0.6515837104072398,-0.013480392156862697,False,False,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,clinvar_expert_external_validation_brca2,True,auc_pr,0.30588142719741307,0.2709036110182074,0.034977816179205645,True,True,False
prime_only__logistic_regression,external_predictors_only__logistic_regression,prime_only,True,clinvar_expert_external_validation_brca2,True,mcc,0.17142473230689767,0.08684168428648435,0.08458304802041332,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,bridges_like_external_validation_brca1,False,auc_roc,0.5863297700032394,0.5903790087463556,-0.004049238743116246,False,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,bridges_like_external_validation_brca1,False,auc_pr,0.14994246672909636,0.17824207440444303,-0.028299607675346672,False,False,True
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,bridges_like_external_validation_brca1,False,mcc,0.025776963111323353,0.09234734153247869,-0.06657037842115533,False,False,True
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,bridges_like_external_validation_brca2,False,auc_roc,0.7102189781021898,0.278345498783455,0.4318734793187348,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,bridges_like_external_validation_brca2,False,auc_pr,0.11593516897936992,0.04124243893526938,0.07469273004410054,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,bridges_like_external_validation_brca2,False,mcc,0.15898910572265523,-0.14225790931127463,0.30124701503392987,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,clinvar_expert_external_validation_brca1,True,auc_roc,0.9222758990874933,0.7419216317767042,0.18035426731078907,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,clinvar_expert_external_validation_brca1,True,auc_pr,0.8639601935165352,0.5879490534893914,0.2760111400271438,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,clinvar_expert_external_validation_brca1,True,mcc,0.6170049627462652,0.06200865735715771,0.5549963053891075,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,clinvar_expert_external_validation_brca2,True,auc_roc,0.6998491704374057,0.6515837104072398,0.04826546003016585,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,clinvar_expert_external_validation_brca2,True,auc_pr,0.5100169074867793,0.2709036110182074,0.23911329646857188,True,True,False
gene_balanced_specialist,external_predictors_only__logistic_regression,gene_balanced_specialist,False,clinvar_expert_external_validation_brca2,True,mcc,0.21380148042918315,0.08684168428648435,0.1269597961426988,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,bridges_like_external_validation_brca1,False,auc_roc,0.5519922254616132,0.5903790087463556,-0.03838678328474243,False,False,True
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,bridges_like_external_validation_brca1,False,auc_pr,0.16942742251752685,0.17824207440444303,-0.008814651886916186,False,False,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,bridges_like_external_validation_brca1,False,mcc,0.027190828690444133,0.09234734153247869,-0.06515651284203455,False,False,True
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,bridges_like_external_validation_brca2,False,auc_roc,0.7454987834549879,0.278345498783455,0.4671532846715329,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,bridges_like_external_validation_brca2,False,auc_pr,0.14813867740418019,0.04124243893526938,0.1068962384689108,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,bridges_like_external_validation_brca2,False,mcc,0.15663223724807285,-0.14225790931127463,0.2988901465593475,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,clinvar_expert_external_validation_brca1,True,auc_roc,0.7619967793880837,0.7419216317767042,0.020075147611379518,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,clinvar_expert_external_validation_brca1,True,auc_pr,0.6575999570435216,0.5879490534893914,0.06965090355413017,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,clinvar_expert_external_validation_brca1,True,mcc,0.36249284010932925,0.06200865735715771,0.30048418275217154,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,clinvar_expert_external_validation_brca2,True,auc_roc,0.7664027149321267,0.6515837104072398,0.11481900452488691,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,clinvar_expert_external_validation_brca2,True,auc_pr,0.5222227345372227,0.2709036110182074,0.25131912351901525,True,True,False
consensus_top3,external_predictors_only__logistic_regression,consensus_top3,False,clinvar_expert_external_validation_brca2,True,mcc,0.37311463046757165,0.08684168428648435,0.2862729461810873,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,bridges_like_external_validation_brca1,False,auc_roc,0.5730482669258179,0.5903790087463556,-0.01733074182053773,False,False,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,bridges_like_external_validation_brca1,False,auc_pr,0.16742398119135238,0.17824207440444303,-0.010818093213090657,False,False,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,bridges_like_external_validation_brca1,False,mcc,0.0868885276965171,0.09234734153247869,-0.0054588138359615845,False,False,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,bridges_like_external_validation_brca2,False,auc_roc,0.7386861313868613,0.278345498783455,0.46034063260340635,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,bridges_like_external_validation_brca2,False,auc_pr,0.16645740380173638,0.04124243893526938,0.125214964866467,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,bridges_like_external_validation_brca2,False,mcc,0.09708506565355574,-0.14225790931127463,0.23934297496483037,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,clinvar_expert_external_validation_brca1,True,auc_roc,0.7524422973698336,0.7419216317767042,0.010520665593129364,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,clinvar_expert_external_validation_brca1,True,auc_pr,0.666611669120838,0.5879490534893914,0.07866261563144661,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,clinvar_expert_external_validation_brca1,True,mcc,0.314789338355404,0.06200865735715771,0.2527806809982463,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,clinvar_expert_external_validation_brca2,True,auc_roc,0.776395173453997,0.6515837104072398,0.12481146304675717,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,clinvar_expert_external_validation_brca2,True,auc_pr,0.5427379652878778,0.2709036110182074,0.27183435426967034,True,True,False
biochemical_only__logistic_regression,external_predictors_only__logistic_regression,biochemical_only,False,clinvar_expert_external_validation_brca2,True,mcc,0.41733498418122483,0.08684168428648435,0.33049329989474047,True,True,False
